Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
248	a	sp|P52434|RPAB3_HUMAN	P52434	RPAB3_HUMAN	POLR2H	150	18.20	Homo sapiens OX=9606	DNA-directed RNA polymerases I, II, and III subunit RPABC3 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	4	4	0	2853951	2853951	     0			tr|C9JLU1|C9JLU1_HUMAN
249	a	sp|P52701|MSH6_HUMAN	P52701	MSH6_HUMAN	MSH6	1360	3.60	Homo sapiens OX=9606	DNA mismatch repair protein Msh6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	3	3	0	632087	632087	     0			tr|A0A087WWJ1|A0A087WWJ1_HUMAN, tr|A0A494C0M1|A0A494C0M1_HUMAN
250	a	sp|P52907|CAZA1_HUMAN	P52907	CAZA1_HUMAN	CAPZA1	286	59.80	Homo sapiens OX=9606	F-actin-capping protein subunit alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	16	12	0	38	27	0	57727467	25689372	     0	N-term(42.0106)		
251	a	sp|P52926|HMGA2_HUMAN	P52926	HMGA2_HUMAN	HMGA2	109	36.40	Homo sapiens OX=9606	High mobility group protein HMGI-C 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	3	3	0	3635249	3635249	     0			tr|F5H2A4|F5H2A4_HUMAN, tr|F5H2U8|F5H2U8_HUMAN, tr|F5H6H0|F5H6H0_HUMAN
252	a	sp|P53365|ARFP2_HUMAN	P53365	ARFP2_HUMAN	ARFIP2	341	7.90	Homo sapiens OX=9606	Arfaptin-2 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	0	0	0	0	     0	     0	     0			tr|A0A087X1E4|A0A087X1E4_HUMAN
253	a	sp|P53367|ARFP1_HUMAN	P53367	ARFP1_HUMAN	ARFIP1	373	29.50	Homo sapiens OX=9606	Arfaptin-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	14	14	0	14692062	14692062	     0			
254	a	sp|P53370|NUDT6_HUMAN	P53370	NUDT6_HUMAN	NUDT6	316	11.10	Homo sapiens OX=9606	Nucleoside diphosphate-linked moiety X motif 6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	1	1	0	1255953	1255953	     0			
255	a	sp|P53701|CCHL_HUMAN	P53701	CCHL_HUMAN	HCCS	268	27.20	Homo sapiens OX=9606	Cytochrome c-type heme lyase 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	0	6	6	0	10931238	10931238	     0			
256	a	sp|P53992|SC24C_HUMAN	P53992	SC24C_HUMAN	SEC24C	1094	11.20	Homo sapiens OX=9606	Protein transport protein Sec24C 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	0	11	11	0	11114750	11114750	     0			tr|G5EA31|G5EA31_HUMAN
257	a	sp|P53999|TCP4_HUMAN	P53999	TCP4_HUMAN	SUB1	127	37.80	Homo sapiens OX=9606	Activated RNA polymerase II transcriptional coactivator p15 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	7	0	12	12	0	21349756	21349756	     0			
258	a	sp|P54709|AT1B3_HUMAN	P54709	AT1B3_HUMAN	ATP1B3	279	12.60	Homo sapiens OX=9606	Sodium/potassium-transporting ATPase subunit beta-3 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	4	4	0	3552451	3552451	     0			tr|C9JA36|C9JA36_HUMAN, tr|C9JXZ1|C9JXZ1_HUMAN
259	a	sp|P54802|ANAG_HUMAN	P54802	ANAG_HUMAN	NAGLU	743	4.30	Homo sapiens OX=9606	Alpha-N-acetylglucosaminidase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	1584542	1584542	     0			
260	a	sp|P54886|P5CS_HUMAN	P54886	P5CS_HUMAN	ALDH18A1	795	25.30	Homo sapiens OX=9606	Delta-1-pyrroline-5-carboxylate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	18	21	21	0	32	32	0	93056061	93056061	     0			
261	a	sp|P55060|XPO2_HUMAN	P55060	XPO2_HUMAN	CSE1L	971	15.60	Homo sapiens OX=9606	Exportin-2 	1:Experimental evidence at protein level	1.0000	0.9990	12	14	14	0	25	25	0	36623540	36623540	     0			
262	a	sp|P55081|MFAP1_HUMAN	P55081	MFAP1_HUMAN	MFAP1	439	9.30	Homo sapiens OX=9606	Microfibrillar-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	2	2	0	2775656	2775656	     0			
263	a	sp|P55789|ALR_HUMAN	P55789	ALR_HUMAN	GFER	205	33.90	Homo sapiens OX=9606	FAD-linked sulfhydryl oxidase ALR 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	626342	626342	     0			tr|H3BRD2|H3BRD2_HUMAN, tr|H3BRW3|H3BRW3_HUMAN
264	a	sp|P56182|RRP1_HUMAN	P56182	RRP1_HUMAN	RRP1	461	8.00	Homo sapiens OX=9606	Ribosomal RNA processing protein 1 homolog A 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	10	10	0	13927654	13927654	     0			
265	a	sp|P56378|ATP68_HUMAN	P56378	ATP68_HUMAN	ATP5MPL	58	20.70	Homo sapiens OX=9606	ATP synthase subunit ATP5MPL, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	9	9	0	29961318	29961318	     0			tr|A0A0A0MTQ5|A0A0A0MTQ5_HUMAN, tr|G3V556|G3V556_HUMAN
266	a	sp|P56381|ATP5E_HUMAN	P56381	ATP5E_HUMAN	ATP5F1E	51	31.40	Homo sapiens OX=9606	ATP synthase subunit epsilon, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	0	7	7	0	109466056	109466056	     0			sp|Q5VTU8|AT5EL_HUMAN
267	a	sp|P56385|ATP5I_HUMAN	P56385	ATP5I_HUMAN	ATP5ME	69	62.30	Homo sapiens OX=9606	ATP synthase subunit e, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	7	0	26	26	0	326023612	326023612	     0			
268	a	sp|P58546|MTPN_HUMAN	P58546	MTPN_HUMAN	MTPN	118	32.70	Homo sapiens OX=9606	Myotrophin 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	6	6	0	17318924	17318924	     0			tr|C9JL85|C9JL85_HUMAN
269	a	sp|P60903|S10AA_HUMAN	P60903	S10AA_HUMAN	S100A10	97	54.60	Homo sapiens OX=9606	Protein S100-A10 	1:Experimental evidence at protein level	1.0000	0.9990	8	14	14	0	31	31	0	256731540	256731540	     0	11M(15.9949), 4M(15.9949), 8M(15.9949)		
270	a	sp|P60981|DEST_HUMAN	P60981	DEST_HUMAN	DSTN	165	31.90	Homo sapiens OX=9606	Destrin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	3	0	7	4	0	31328664	20816393	     0			tr|F6RFD5|F6RFD5_HUMAN
271	a	sp|P61009|SPCS3_HUMAN	P61009	SPCS3_HUMAN	SPCS3	180	17.80	Homo sapiens OX=9606	Signal peptidase complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	5	5	0	9551912	9551912	     0			
272	a	sp|P61421|VA0D1_HUMAN	P61421	VA0D1_HUMAN	ATP6V0D1	351	18.10	Homo sapiens OX=9606	V-type proton ATPase subunit d 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	7	7	0	30354237	30354237	     0			tr|F5GYQ1|F5GYQ1_HUMAN, tr|J3QL14|J3QL14_HUMAN, tr|R4GN72|R4GN72_HUMAN
273	a	sp|P61457|PHS_HUMAN	P61457	PHS_HUMAN	PCBD1	104	57.70	Homo sapiens OX=9606	Pterin-4-alpha-carbinolamine dehydratase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	7	7	0	12615239	12615239	     0			
274	a	sp|P61769|B2MG_HUMAN	P61769	B2MG_HUMAN	B2M	119	14.10	Homo sapiens	Beta-2-microglobulin 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	6	6	0	21596964	21596964	     0			tr|F5H6I0|F5H6I0_HUMAN, tr|H0YLF3|H0YLF3_HUMAN
275	a	sp|P61966|AP1S1_HUMAN	P61966	AP1S1_HUMAN	AP1S1	158	15.90	Homo sapiens OX=9606	AP-1 complex subunit sigma-1A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	2294265	2294265	     0			tr|A0A2R8YGH5|A0A2R8YGH5_HUMAN, tr|H7C1E4|H7C1E4_HUMAN
276	a	sp|P61970|NTF2_HUMAN	P61970	NTF2_HUMAN	NUTF2	127	22.40	Homo sapiens OX=9606	Nuclear transport factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	6	6	0	16701672	16701672	     0			tr|H3BRV9|H3BRV9_HUMAN
277	a	sp|P62072|TIM10_HUMAN	P62072	TIM10_HUMAN	TIMM10	90	16.70	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim10 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	9	9	0	6648551	6648551	     0			
278	a	sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	43.10	Homo sapiens OX=9606	40S ribosomal protein S8 	1:Experimental evidence at protein level	1.0000	0.9990	10	12	12	0	28	28	0	114879358	114879358	     0			tr|Q5JR95|Q5JR95_HUMAN
279	a	sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	40.20	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm3 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	7	7	0	11807868	11807868	     0	N-term(42.0106)		
280	a	sp|P62312|LSM6_HUMAN	P62312	LSM6_HUMAN	LSM6	80	25.00	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm6 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	5	5	0	3484539	3484539	     0			
281	a	sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	15.10	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	10	10	0	69939408	69939408	     0			
282	a	sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	61.40	Homo sapiens OX=9606	Thymosin beta-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	12	12	0	25899852	25899852	     0	N-term(42.0106)		
283	a	sp|P62851|RS25_HUMAN	P62851	RS25_HUMAN	RPS25	125	22.40	Homo sapiens OX=9606	40S ribosomal protein S25 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	18	18	0	104028500	104028500	     0			
284	a	sp|P62857|RS28_HUMAN	P62857	RS28_HUMAN	RPS28	69	34.80	Homo sapiens OX=9606	40S ribosomal protein S28 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	8	8	0	48835209	48835209	     0			
285	a	sp|P62861|RS30_HUMAN	P62861	RS30_HUMAN	FAU	59	20.30	Homo sapiens OX=9606	40S ribosomal protein S30 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	15	15	0	68667001	68667001	     0			tr|E9PR30|E9PR30_HUMAN
286	a	sp|P62875|RPAB5_HUMAN	P62875	RPAB5_HUMAN	POLR2L	67	29.90	Homo sapiens OX=9606	DNA-directed RNA polymerases I, II, and III subunit RPABC5 	1:Experimental evidence at protein level	1.0000	0.9979	2	2	2	0	2	2	0	2355944	2355944	     0			
287	a	sp|P62877|RBX1_HUMAN	P62877	RBX1_HUMAN	RBX1	108	16.70	Homo sapiens OX=9606	E3 ubiquitin-protein ligase RBX1 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	8	8	0	2291938	2291938	     0	4M(15.9949), N-term(42.0106)		
288	a	sp|P62891|RL39_HUMAN	P62891	RL39_HUMAN	RPL39	51	19.60	Homo sapiens OX=9606	60S ribosomal protein L39 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	2	2	0	24349119	24349119	     0			sp|Q59GN2|R39L5_HUMAN
289	a	sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	37.30	Homo sapiens OX=9606	60S ribosomal protein L10a 	1:Experimental evidence at protein level	1.0000	0.9990	11	16	16	0	48	48	0	100640444	100640444	     0			
290	a	sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	51.40	Homo sapiens	SUMO-conjugating enzyme UBC9 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	10	10	0	18845861	18845861	     0			tr|B0QYN7|B0QYN7_HUMAN, tr|H3BPC4|H3BPC4_HUMAN, tr|H3BQQ9|H3BQQ9_HUMAN
291	a	sp|P63313|TYB10_HUMAN	P63313	TYB10_HUMAN	TMSB10	44	36.40	Homo sapiens OX=9606	Thymosin beta-10 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	20148312	20148312	     0	N-term(42.0106)		
292	a	sp|P78330|SERB_HUMAN	P78330	SERB_HUMAN	PSPH	225	16.60	Homo sapiens OX=9606	Phosphoserine phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	2	2	0	10704987	10704987	     0			tr|C9JBI3|C9JBI3_HUMAN
293	a	sp|P82664|RT10_HUMAN	P82664	RT10_HUMAN	MRPS10	201	20.40	Homo sapiens OX=9606	28S ribosomal protein S10, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	2	2	0	3648213	3648213	     0			
294	a	sp|P82675|RT05_HUMAN	P82675	RT05_HUMAN	MRPS5	430	15.60	Homo sapiens OX=9606	28S ribosomal protein S5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	6	6	0	6754430	6754430	     0			
295	a	sp|P82914|RT15_HUMAN	P82914	RT15_HUMAN	MRPS15	257	19.50	Homo sapiens OX=9606	28S ribosomal protein S15, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	2	2	0	5430124	5430124	     0			
296	a	sp|P82921|RT21_HUMAN	P82921	RT21_HUMAN	MRPS21	87	29.90	Homo sapiens OX=9606	28S ribosomal protein S21, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	8	8	0	14818987	14818987	     0			
297	a	sp|P82932|RT06_HUMAN	P82932	RT06_HUMAN	MRPS6	125	27.20	Homo sapiens OX=9606	28S ribosomal protein S6, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	5	5	5	0	4	4	0	13303587	13303587	     0			
298	a	sp|P82933|RT09_HUMAN	P82933	RT09_HUMAN	MRPS9	396	14.60	Homo sapiens OX=9606	28S ribosomal protein S9, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	3	3	0	1748936	1748936	     0			
299	a	sp|P83731|RL24_HUMAN	P83731	RL24_HUMAN	RPL24	157	32.20	Homo sapiens OX=9606	60S ribosomal protein L24 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	15	15	0	298623204	298623204	     0			tr|C9JNW5|C9JNW5_HUMAN, tr|C9JXB8|C9JXB8_HUMAN
300	a	sp|P83876|TXN4A_HUMAN	P83876	TXN4A_HUMAN	TXNL4A	142	18.30	Homo sapiens OX=9606	Thioredoxin-like protein 4A 	1:Experimental evidence at protein level	1.0000	0.9989	1	2	2	0	0	0	0	     0	     0	     0			tr|K7ESL1|K7ESL1_HUMAN
301	a	sp|P84095|RHOG_HUMAN	P84095	RHOG_HUMAN	RHOG	191	38.20	Homo sapiens OX=9606	Rho-related GTP-binding protein RhoG 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	10	10	0	13316176	13316176	     0			
302	a	sp|P84098|RL19_HUMAN	P84098	RL19_HUMAN	RPL19	196	23.30	Homo sapiens OX=9606	60S ribosomal protein L19 	1:Experimental evidence at protein level	1.0000	0.9990	7	9	9	0	18	18	0	34246026	34246026	     0			tr|J3KTE4|J3KTE4_HUMAN, tr|J3QR09|J3QR09_HUMAN
303	a	sp|P84103|SRSF3_HUMAN	P84103	SRSF3_HUMAN	SRSF3	164	49.50	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	5	0	18	13	0	91949035	59728310	     0			tr|A0A087X2D0|A0A087X2D0_HUMAN
304	a	sp|Q00577|PURA_HUMAN	Q00577	PURA_HUMAN	PURA	322	20.50	Homo sapiens OX=9606	Transcriptional activator protein Pur-alpha 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	0	14	14	0	19210851	19210851	     0			
305	a	sp|Q01130|SRSF2_HUMAN	Q01130	SRSF2_HUMAN	SRSF2	221	36.90	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	4	0	12	9	0	25341912	18791781	     0	N-term(42.0106)		tr|J3KP15|J3KP15_HUMAN, tr|J3QL05|J3QL05_HUMAN
306	a	sp|Q01780|EXOSX_HUMAN	Q01780	EXOSX_HUMAN	EXOSC10	885	2.80	Homo sapiens OX=9606	Exosome component 10 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	353818	353818	     0			
307	a	sp|Q02978|M2OM_HUMAN	Q02978	M2OM_HUMAN	SLC25A11	314	64.50	Homo sapiens OX=9606	Mitochondrial 2-oxoglutarate/malate carrier protein 	1:Experimental evidence at protein level	1.0000	0.9990	19	24	24	0	61	61	0	120861968	120861968	     0	N-term(42.0106)		tr|I3L1P8|I3L1P8_HUMAN
308	a	sp|Q03252|LMNB2_HUMAN	Q03252	LMNB2_HUMAN	LMNB2	620	40.20	Homo sapiens OX=9606	Lamin-B2 	1:Experimental evidence at protein level	1.0000	0.9990	26	28	22	0	43	32	0	89721792	18727202	     0			
309	a	sp|Q04323|UBXN1_HUMAN	Q04323	UBXN1_HUMAN	UBXN1	297	19.70	Homo sapiens OX=9606	UBX domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	7	7	0	8853054	8853054	     0	N-term(42.0106)		tr|A0A087WTZ5|A0A087WTZ5_HUMAN, tr|E9PJ81|E9PJ81_HUMAN, tr|E9PRQ7|E9PRQ7_HUMAN
310	a	sp|Q04760|LGUL_HUMAN	Q04760	LGUL_HUMAN	GLO1	184	38.00	Homo sapiens OX=9606	Lactoylglutathione lyase 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	17	17	0	77390250	77390250	     0			
311	a	sp|Q06210|GFPT1_HUMAN	Q06210	GFPT1_HUMAN	GFPT1	699	16.70	Homo sapiens OX=9606	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	0	11	11	0	5725444	5725444	     0			
312	a	sp|Q07817|B2CL1_HUMAN	Q07817	B2CL1_HUMAN	BCL2L1	233	9.90	Homo sapiens OX=9606	Bcl-2-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	0	2	2	0	4123037	4123037	     0			tr|Q5QP56|Q5QP56_HUMAN, tr|Q5TE64|Q5TE64_HUMAN, tr|Q9H1R6|Q9H1R6_HUMAN
313	a	sp|Q07954|LRP1_HUMAN	Q07954	LRP1_HUMAN	LRP1	4544	3.00	Homo sapiens OX=9606	Prolow-density lipoprotein receptor-related protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	10	0	5	5	0	6905249	6905249	     0			
314	a	sp|Q08211|DHX9_HUMAN	Q08211	DHX9_HUMAN	DHX9	1270	33.70	Homo sapiens OX=9606	ATP-dependent RNA helicase A 	1:Experimental evidence at protein level	1.0000	0.9990	33	43	43	0	73	73	0	61199745	61199745	     0			
315	a	sp|Q08752|PPID_HUMAN	Q08752	PPID_HUMAN	PPID	370	5.40	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase D 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	3	3	0	4088708	4088708	     0			
316	a	sp|Q09161|NCBP1_HUMAN	Q09161	NCBP1_HUMAN	NCBP1	790	3.90	Homo sapiens OX=9606	Nuclear cap-binding protein subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	3230172	3230172	     0			
317	a	sp|Q10570|CPSF1_HUMAN	Q10570	CPSF1_HUMAN	CPSF1	1443	2.30	Homo sapiens OX=9606	Cleavage and polyadenylation specificity factor subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	3	3	0	1283367	1283367	     0			
318	a	sp|Q10589|BST2_HUMAN	Q10589	BST2_HUMAN	BST2	180	18.30	Homo sapiens OX=9606	Bone marrow stromal antigen 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	11	11	0	34987902	34987902	     0			
319	a	sp|Q12874|SF3A3_HUMAN	Q12874	SF3A3_HUMAN	SF3A3	501	18.60	Homo sapiens OX=9606	Splicing factor 3A subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	11	11	0	11730702	11730702	     0			
320	a	sp|Q12996|CSTF3_HUMAN	Q12996	CSTF3_HUMAN	CSTF3	717	5.00	Homo sapiens OX=9606	Cleavage stimulation factor subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|E9PLP8|E9PLP8_HUMAN
321	a	sp|Q13066|GAG2B_HUMAN	Q13066	GAG2B_HUMAN	GAGE2B	116	30.20	Homo sapiens OX=9606	G antigen 2B/2C 	1:Experimental evidence at protein level	1.0000	0.9990	2	4	4	0	2	2	0	5162899	5162899	     0			sp|Q4V321|GAG13_HUMAN, sp|Q6NT46|GAG2A_HUMAN, sp|Q9UEU5|GGE2D_HUMAN
322	a	sp|Q13151|ROA0_HUMAN	Q13151	ROA0_HUMAN	HNRNPA0	305	28.50	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein A0 	1:Experimental evidence at protein level	1.0000	0.9990	7	9	8	0	21	13	0	34803464	21243640	     0			
323	a	sp|Q13451|FKBP5_HUMAN	Q13451	FKBP5_HUMAN	FKBP5	457	58.60	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP5 	1:Experimental evidence at protein level	1.0000	0.9990	33	46	46	0	130	130	0	116064180	116064180	     0			
324	a	sp|Q13546|RIPK1_HUMAN	Q13546	RIPK1_HUMAN	RIPK1	671	4.50	Homo sapiens OX=9606	Receptor-interacting serine/threonine-protein kinase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	2421204	2421204	     0			
325	a	sp|Q13823|NOG2_HUMAN	Q13823	NOG2_HUMAN	GNL2	731	7.90	Homo sapiens OX=9606	Nucleolar GTP-binding protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	2	2	0	5326957	5326957	     0			
326	a	sp|Q13907|IDI1_HUMAN	Q13907	IDI1_HUMAN	IDI1	227	15.00	Homo sapiens OX=9606	Isopentenyl-diphosphate Delta-isomerase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	1	1	0	1926893	1926893	     0			
327	a	sp|Q14152|EIF3A_HUMAN	Q14152	EIF3A_HUMAN	EIF3A	1382	20.30	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit A 	1:Experimental evidence at protein level	1.0000	0.9990	21	25	25	0	33	33	0	70394194	70394194	     0			
328	a	sp|Q14166|TTL12_HUMAN	Q14166	TTL12_HUMAN	TTLL12	644	15.20	Homo sapiens OX=9606	Tubulin--tyrosine ligase-like protein 12 	1:Experimental evidence at protein level	1.0000	0.9990	6	8	8	0	9	9	0	9836180	9836180	     0			
329	a	sp|Q14192|FHL2_HUMAN	Q14192	FHL2_HUMAN	FHL2	279	7.90	Homo sapiens OX=9606	Four and a half LIM domains protein 2 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	0	0	0	0	     0	     0	     0			
330	a	sp|Q14249|NUCG_HUMAN	Q14249	NUCG_HUMAN	ENDOG	297	6.70	Homo sapiens OX=9606	Endonuclease G, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	2670531	2670531	     0			
331	a	sp|Q14257|RCN2_HUMAN	Q14257	RCN2_HUMAN	RCN2	317	21.90	Homo sapiens OX=9606	Reticulocalbin-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	6594240	6594240	     0			tr|H0YL43|H0YL43_HUMAN
332	a	sp|Q14554|PDIA5_HUMAN	Q14554	PDIA5_HUMAN	PDIA5	519	9.80	Homo sapiens OX=9606	Protein disulfide-isomerase A5 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	8	8	0	7045331	7045331	     0			
333	a	sp|Q14566|MCM6_HUMAN	Q14566	MCM6_HUMAN	MCM6	821	15.60	Homo sapiens OX=9606	DNA replication licensing factor MCM6 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	0	10	10	0	6106689	6106689	     0			
334	a	sp|Q14573|ITPR3_HUMAN	Q14573	ITPR3_HUMAN	ITPR3	2671	5.20	Homo sapiens OX=9606	Inositol 1,4,5-trisphosphate receptor type 3 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	0	13	13	0	9900169	9900169	     0			
335	a	sp|Q14677|EPN4_HUMAN	Q14677	EPN4_HUMAN	CLINT1	625	19.20	Homo sapiens OX=9606	Clathrin interactor 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	0	19	19	0	98967746	98967746	     0			
336	a	sp|Q14684|RRP1B_HUMAN	Q14684	RRP1B_HUMAN	RRP1B	758	7.10	Homo sapiens OX=9606	Ribosomal RNA processing protein 1 homolog B 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	5	5	0	3351089	3351089	     0			
337	a	sp|Q14692|BMS1_HUMAN	Q14692	BMS1_HUMAN	BMS1	1282	4.10	Homo sapiens OX=9606	Ribosome biogenesis protein BMS1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	5	5	0	2733305	2733305	     0			
338	a	sp|Q14746|COG2_HUMAN	Q14746	COG2_HUMAN	COG2	738	4.30	Homo sapiens OX=9606	Conserved oligomeric Golgi complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	2	2	0	1729759	1729759	     0			tr|B7Z2Y2|B7Z2Y2_HUMAN
339	a	sp|Q15042|RB3GP_HUMAN	Q15042	RB3GP_HUMAN	RAB3GAP1	981	2.30	Homo sapiens OX=9606	Rab3 GTPase-activating protein catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	0	3	3	0	1217742	1217742	     0			
340	a	sp|Q15050|RRS1_HUMAN	Q15050	RRS1_HUMAN	RRS1	365	18.90	Homo sapiens OX=9606	Ribosome biogenesis regulatory protein homolog 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	3	3	0	2882068	2882068	     0			
341	a	sp|Q15056|IF4H_HUMAN	Q15056	IF4H_HUMAN	EIF4H	248	26.60	Homo sapiens OX=9606	Eukaryotic translation initiation factor 4H 	1:Experimental evidence at protein level	1.0000	0.9990	6	8	8	0	9	9	0	13676768	13676768	     0			
342	a	sp|Q15061|WDR43_HUMAN	Q15061	WDR43_HUMAN	WDR43	677	7.40	Homo sapiens OX=9606	WD repeat-containing protein 43 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	1	1	0	1195897	1195897	     0			
