Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1000	a	sp|P04844|RPN2_HUMAN	P04844	RPN2_HUMAN	RPN2	631	26.50	Homo sapiens OX=9606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	12	17	14	0	49	44	0	59306166	53620824	     0			
1001	f	sp|P08754|GNAI3_HUMAN	P08754	GNAI3_HUMAN	GNAI3	354	13.00	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(i) subunit alpha 	1:Experimental evidence at protein level	0.9997	0.9990	4	5	1	0	16	4	0	72519211	3358892	     0			
1001	a	sp|P04899|GNAI2_HUMAN	P04899	GNAI2_HUMAN	GNAI2	355	24.80	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(i) subunit alpha-2 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	4	0	25	13	0	72519211	20636162	     0			
1001	b	sp|P63096|GNAI1_HUMAN	P63096	GNAI1_HUMAN	GNAI1	354	20.10	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(i) subunit alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	2	0	21	6	0	72519211	11222954	     0			
1001	c	sp|P63092|GNAS2_HUMAN	P63092	GNAS2_HUMAN	GNAS	394	20.10	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	1	0	24	0	0	60628490	     0	     0			sp|Q5JWF2|GNAS1_HUMAN
1001	d	sp|P09471|GNAO_HUMAN	P09471	GNAO_HUMAN	GNAO1	354	13.00	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(o) subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	1	0	13	0	0	69230081	     0	     0			
1001	e	sp|Q14344|GNA13_HUMAN	Q14344	GNA13_HUMAN	GNA13	377	11.90	Homo sapiens OX=9606	Guanine nucleotide-binding protein subunit alpha-13 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	3	0	13	5	0	46848149	5555241	     0			
1002	b	sp|P54707|AT12A_HUMAN	P54707	AT12A_HUMAN	ATP12A	1039	2.80	Homo sapiens OX=9606	Potassium-transporting ATPase alpha chain 2 	1:Experimental evidence at protein level	0.9987	0.9990	5	7	1	0	17	1	0	82897608	26370724	     0			
1002	a	sp|P05023|AT1A1_HUMAN	P05023	AT1A1_HUMAN	ATP1A1	1023	35.80	Homo sapiens OX=9606	Sodium/potassium-transporting ATPase subunit alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	36	50	28	0	156	91	0	131877828	127544048	     0			
1003	a	sp|P05026|AT1B1_HUMAN	P05026	AT1B1_HUMAN	ATP1B1	303	18.80	Homo sapiens OX=9606	Sodium/potassium-transporting ATPase subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	9	9	0	24	24	0	61760483	61760483	     0			
1004	a	sp|P05114|HMGN1_HUMAN	P05114	HMGN1_HUMAN	HMGN1	100	47.00	Homo sapiens OX=9606	Non-histone chromosomal protein HMG-14 	1:Experimental evidence at protein level	0.9998	0.9990	2	2	0	0	2	0	0	1993550	     0	     0			
1005	a	sp|P05120|PAI2_HUMAN	P05120	PAI2_HUMAN	SERPINB2	415	21.20	Homo sapiens OX=9606	Plasminogen activator inhibitor 2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	6	0	18	13	0	15413415	15252536	     0			
1006	a	sp|P05141|ADT2_HUMAN	P05141	ADT2_HUMAN	SLC25A5	298	51.00	Homo sapiens OX=9606	ADP/ATP translocase 2 	1:Experimental evidence at protein level	1.0000	0.9990	25	35	9	0	113	24	0	1368528672	658268248	     0	N-term(42.0106)		
1006	b	sp|P12236|ADT3_HUMAN	P12236	ADT3_HUMAN	SLC25A6	298	42.60	Homo sapiens OX=9606	ADP/ATP translocase 3 	1:Experimental evidence at protein level	1.0000	0.9990	23	32	5	0	100	11	0	1213299744	176484178	     0	N-term(42.0106)		
1006	c	sp|P12235|ADT1_HUMAN	P12235	ADT1_HUMAN	SLC25A4	298	41.60	Homo sapiens OX=9606	ADP/ATP translocase 1 	1:Experimental evidence at protein level	1.0000	0.9990	20	28	4	0	90	11	0	1114881504	126356836	     0	N-term(42.0106)		
1006	d	sp|Q9H0C2|ADT4_HUMAN	Q9H0C2	ADT4_HUMAN	SLC25A31	315	12.40	Homo sapiens OX=9606	ADP/ATP translocase 4 	2:Experimental evidence at transcript level	0.9932	0.9990	7	8	1	0	25	1	0	1098008496	917435	     0			
1007	a	sp|P05165|PCCA_HUMAN	P05165	PCCA_HUMAN	PCCA	728	35.40	Homo sapiens OX=9606	Propionyl-CoA carboxylase alpha chain, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	22	28	3	0	62	7	0	39011729	20665604	     0			
1008	a	sp|P05166|PCCB_HUMAN	P05166	PCCB_HUMAN	PCCB	539	33.80	Homo sapiens OX=9606	Propionyl-CoA carboxylase beta chain, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	13	14	3	0	22	0	0	54638135	     0	     0			tr|C9JQS9|C9JQS9_HUMAN, tr|E9PDR0|E9PDR0_HUMAN
1009	a	sp|P05198|IF2A_HUMAN	P05198	IF2A_HUMAN	EIF2S1	315	48.90	Homo sapiens OX=9606	Eukaryotic translation initiation factor 2 subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	14	4	0	27	7	0	196091502	15109500	     0			
1010	a	sp|P05362|ICAM1_HUMAN	P05362	ICAM1_HUMAN	ICAM1	532	20.10	Homo sapiens OX=9606	Intercellular adhesion molecule 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	11	11	0	20	20	0	20893535	20893535	     0			
1011	a	sp|P05387|RLA2_HUMAN	P05387	RLA2_HUMAN	RPLP2	115	77.40	Homo sapiens OX=9606	60S acidic ribosomal protein P2 	1:Experimental evidence at protein level	1.0000	0.9990	7	11	11	0	15	15	0	14285012	14285012	     0			
1012	b	sp|Q8NHW5|RLA0L_HUMAN	Q8NHW5	RLA0L_HUMAN	RPLP0P6	317	28.40	Homo sapiens OX=9606	60S acidic ribosomal protein P0-like 	5:Protein uncertain	0.9999	0.9990	9	10	1	0	25	1	0	150031500	1314060	     0			
1012	a	sp|P05388|RLA0_HUMAN	P05388	RLA0_HUMAN	RPLP0	317	38.80	Homo sapiens OX=9606	60S acidic ribosomal protein P0 	1:Experimental evidence at protein level	1.0000	0.9990	10	14	0	0	36	0	0	156010088	     0	     0			
1013	a	sp|P05455|LA_HUMAN	P05455	LA_HUMAN	SSB	408	31.10	Homo sapiens OX=9606	Lupus La protein 	1:Experimental evidence at protein level	1.0000	0.9990	20	23	12	0	43	22	0	50767132	36485978	     0			
1014	a	sp|P05556|ITB1_HUMAN	P05556	ITB1_HUMAN	ITGB1	798	16.80	Homo sapiens OX=9606	Integrin beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	14	12	0	44	38	0	161985816	140763274	     0			
1015	f	sp|O76015|KRT38_HUMAN	O76015	KRT38_HUMAN	KRT38	456	3.90	Homo sapiens	Keratin, type I cuticular Ha8 	1:Experimental evidence at protein level	0.9911	0.9990	2	2	1	0	5	0	0	355284384	     0	     0			
1015	a	sp|P05783|K1C18_HUMAN	P05783	K1C18_HUMAN	KRT18	430	82.80	Homo sapiens OX=9606	Keratin, type I cytoskeletal 18 	1:Experimental evidence at protein level	1.0000	0.9990	58	88	83	0	277	249	0	1454466912	924684656	     0	12M(15.9949), 19M(15.9949), 20M(15.9949), 29M(15.9949), 3M(15.9949), 9M(15.9949)		
1015	b	sp|P08727|K1C19_HUMAN	P08727	K1C19_HUMAN	KRT19	400	85.50	Homo sapiens OX=9606	Keratin, type I cytoskeletal 19 	1:Experimental evidence at protein level	1.0000	0.9990	48	73	42	0	256	155	0	1240761232	324341064	     0	6M(15.9949)		
1015	c	sp|P02533|K1C14_HUMAN	P02533	K1C14_HUMAN	KRT14	472	21.20	Homo sapiens OX=9606	Keratin, type I cytoskeletal 14 	1:Experimental evidence at protein level	1.0000	0.9990	13	16	1	0	34	3	0	637186824	8550780	     0			
1015	d	sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	19.20	Homo sapiens	Keratin, type I cytoskeletal 10 	1:Experimental evidence at protein level	1.0000	0.9990	12	14	7	0	26	10	0	452710059	9747625	     0			
1015	e	sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	28.40	Homo sapiens	Keratin, type I cytoskeletal 9 	1:Experimental evidence at protein level	1.0000	0.9990	13	14	13	0	10	7	0	95946289	4455699	     0			
1016	e	sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	17.80	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal 	1:Experimental evidence at protein level	1.0000	0.9990	11	13	3	0	30	3	0	457985518	1940758	     0			
1016	a	sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	87.00	Homo sapiens OX=9606	Keratin, type II cytoskeletal 8 	1:Experimental evidence at protein level	1.0000	0.9990	75	140	57	0	434	155	0	1633363136	1606213792	     0	5M(15.9949), 6M(15.9949), 8M(15.9949)		
1016	b	sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	30.90	Homo sapiens	Keratin, type II cytoskeletal 1 	1:Experimental evidence at protein level	1.0000	0.9990	25	28	16	0	54	14	0	750188728	19857631	     0			
1016	c	sp|P02538|K2C6A_HUMAN	P02538	K2C6A_HUMAN	KRT6A	564	23.00	Homo sapiens OX=9606	Keratin, type II cytoskeletal 6A 	1:Experimental evidence at protein level	1.0000	0.9990	16	20	2	0	43	2	0	672155528	1399016	     0			
1016	f	sp|Q6KB66|K2C80_HUMAN	Q6KB66	K2C80_HUMAN	KRT80	452	4.60	Homo sapiens OX=9606	Keratin, type II cytoskeletal 80 	1:Experimental evidence at protein level	0.9999	0.9990	3	4	2	0	18	15	0	682118468	501442596	     0	6M(15.9949)		
1016	d	tr|Q8IWY7|Q8IWY7_HUMAN	Q8IWY7	Q8IWY7_HUMAN	TTBK2	1649	5.20	Homo sapiens OX=9606	Tau-tubulin kinase 	1:Experimental evidence at protein level	1.0000	0.9990	10	15	1	0	33	0	0	809598632	     0	     0			
1017	a	sp|P06132|DCUP_HUMAN	P06132	DCUP_HUMAN	UROD	367	21.40	Homo sapiens OX=9606	Uroporphyrinogen decarboxylase 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	4	0	6	0	0	7449875	     0	     0			tr|A0A494C085|A0A494C085_HUMAN
1018	a	sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	33.20	Homo sapiens	Gelsolin 	1:Experimental evidence at protein level	1.0000	0.9990	18	22	18	0	52	41	0	44303360	44303360	     0			tr|A0A0A0MS51|A0A0A0MS51_HUMAN, tr|A0A0A0MT01|A0A0A0MT01_HUMAN
1019	a	sp|P06454|PTMA_HUMAN	P06454	PTMA_HUMAN	PTMA	111	26.20	Homo sapiens OX=9606	Prothymosin alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	2116729	2116729	     0	N-term(42.0106)		tr|B8ZZQ6|B8ZZQ6_HUMAN
1020	a	sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	ATP5F1B	529	83.90	Homo sapiens OX=9606	ATP synthase subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	56	101	34	0	459	131	0	2100139776	1768691104	     0	16M(15.9949), 2M(15.9949)		
1021	a	sp|P06730|IF4E_HUMAN	P06730	IF4E_HUMAN	EIF4E	217	25.80	Homo sapiens OX=9606	Eukaryotic translation initiation factor 4E 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	3	0	5	4	0	16559919	11858364	     0	N-term(42.0106)		
1022	c	sp|P13929|ENOB_HUMAN	P13929	ENOB_HUMAN	ENO3	434	10.60	Homo sapiens OX=9606	Beta-enolase 	1:Experimental evidence at protein level	0.9722	0.9990	3	4	1	0	13	0	0	555630828	     0	     0			
1022	b	tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN	A0A2R8Y6G6	A0A2R8Y6G6_HUMAN	ENO1	434	62.40	Homo sapiens OX=9606	Alpha-enolase 	1:Experimental evidence at protein level	1.0000	0.9990	41	73	0	0	261	0	0	1051605840	     0	     0			
1022	a	sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	66.10	Homo sapiens OX=9606	Alpha-enolase 	1:Experimental evidence at protein level	1.0000	0.9990	43	75	0	0	270	0	0	1331602656	     0	     0			
1023	a	sp|P06737|PYGL_HUMAN	P06737	PYGL_HUMAN	PYGL	847	37.00	Homo sapiens OX=9606	Glycogen phosphorylase, liver form 	1:Experimental evidence at protein level	1.0000	0.9990	31	37	32	0	80	69	0	54159466	38201374	     0			
1023	b	sp|P11217|PYGM_HUMAN	P11217	PYGM_HUMAN	PYGM	842	9.60	Homo sapiens OX=9606	Glycogen phosphorylase, muscle form 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	2	0	12	1	0	36479817	3102443	     0			
1024	a	sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	53.80	Homo sapiens OX=9606	Glucose-6-phosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	26	39	16	0	96	23	0	241474040	58256806	     0			tr|A0A2U3TZU2|A0A2U3TZU2_HUMAN
1025	c	sp|Q96LJ7|DHRS1_HUMAN	Q96LJ7	DHRS1_HUMAN	DHRS1	313	4.50	Homo sapiens OX=9606	Dehydrogenase/reductase SDR family member 1 	1:Experimental evidence at protein level	0.9950	0.9990	2	2	1	0	5	0	0	39807644	     0	     0			
1025	a	sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	42.20	Homo sapiens OX=9606	Nucleophosmin 	1:Experimental evidence at protein level	1.0000	0.9990	15	32	30	0	97	87	0	445398952	445398952	     0	1M(15.9949)		
1025	b	sp|P41252|SYIC_HUMAN	P41252	SYIC_HUMAN	IARS	1262	22.40	Homo sapiens OX=9606	Isoleucine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	21	26	20	0	61	40	0	64593940	35095486	     0			tr|J3KR24|J3KR24_HUMAN
1026	a	sp|P06865|HEXA_HUMAN	P06865	HEXA_HUMAN	HEXA	529	14.90	Homo sapiens OX=9606	Beta-hexosaminidase subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	7	0	12	10	0	25005962	24867784	     0			tr|H3BP20|H3BP20_HUMAN, tr|H3BS10|H3BS10_HUMAN
1027	a	sp|P07099|HYEP_HUMAN	P07099	HYEP_HUMAN	EPHX1	455	45.90	Homo sapiens OX=9606	Epoxide hydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	25	40	26	0	98	55	0	233639904	233639904	     0			
1028	a	sp|P07108|ACBP_HUMAN	P07108	ACBP_HUMAN	DBI	87	80.50	Homo sapiens OX=9606	Acyl-CoA-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	7	12	12	0	30	30	0	82327016	82327016	     0			
1029	a	sp|P07203|GPX1_HUMAN	P07203	GPX1_HUMAN	GPX1	203	39.60	Homo sapiens OX=9606	Glutathione peroxidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	4	0	13	7	0	18316163	14186199	     0			tr|A0A087WUQ6|A0A087WUQ6_HUMAN
1030	b	tr|I3L3U6|I3L3U6_HUMAN	I3L3U6	I3L3U6_HUMAN	P4HB	188	64.40	Homo sapiens OX=9606	Protein disulfide-isomerase (Fragment) 	1:Experimental evidence at protein level	1.0000	0.9990	9	14	1	0	30	1	0	281694148	19675998	     0			
1030	a	sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	65.60	Homo sapiens OX=9606	Protein disulfide-isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	37	57	0	0	160	0	0	345385184	     0	     0			
1031	a	sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	42.10	Homo sapiens	Cathepsin D 	1:Experimental evidence at protein level	1.0000	0.9990	25	35	9	0	121	0	0	1000739760	     0	     0			tr|A0A1B0GV23|A0A1B0GV23_HUMAN, tr|A0A1B0GVD5|A0A1B0GVD5_HUMAN, tr|A0A1B0GWE8|A0A1B0GWE8_HUMAN
1032	a	sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	64.90	Homo sapiens OX=9606	Annexin A2 	1:Experimental evidence at protein level	1.0000	0.9990	33	50	4	0	202	8	0	1134256736	62249212	     0			
1033	a	sp|P07384|CAN1_HUMAN	P07384	CAN1_HUMAN	CAPN1	714	27.20	Homo sapiens OX=9606	Calpain-1 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	14	15	14	0	15	13	0	20010784	12733862	     0			
1034	a	sp|P07602|SAP_HUMAN	P07602	SAP_HUMAN	PSAP	524	5.70	Homo sapiens OX=9606	Prosaposin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	2	2	0	4876046	4876046	     0			tr|C9JIZ6|C9JIZ6_HUMAN
1035	a	sp|P07686|HEXB_HUMAN	P07686	HEXB_HUMAN	HEXB	556	17.40	Homo sapiens OX=9606	Beta-hexosaminidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	11	13	5	0	33	19	0	288887354	285434437	     0			
1036	a	sp|P07737|PROF1_HUMAN	P07737	PROF1_HUMAN	PFN1	140	65.70	Homo sapiens OX=9606	Profilin-1 	1:Experimental evidence at protein level	1.0000	0.9990	9	12	11	0	35	35	0	411561480	411561480	     0			
1037	a	sp|P07741|APT_HUMAN	P07741	APT_HUMAN	APRT	180	56.10	Homo sapiens OX=9606	Adenine phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	10	13	1	0	34	0	0	77922590	     0	     0			
1038	a	sp|P07814|SYEP_HUMAN	P07814	SYEP_HUMAN	EPRS	1512	29.60	Homo sapiens OX=9606	Bifunctional glutamate/proline--tRNA ligase 	1:Experimental evidence at protein level	1.0000	0.9990	35	40	39	0	86	85	0	138899316	138899316	     0			
1039	a	sp|P07858|CATB_HUMAN	P07858	CATB_HUMAN	CTSB	339	19.80	Homo sapiens OX=9606	Cathepsin B 	1:Experimental evidence at protein level	1.0000	0.9990	8	15	15	0	55	55	0	128847856	128847856	     0	11M(15.9949), 12M(15.9949), 4C(57.0215)		
1040	a	sp|P07902|GALT_HUMAN	P07902	GALT_HUMAN	GALT	379	9.80	Homo sapiens OX=9606	Galactose-1-phosphate uridylyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	2	0	5	5	0	3168149	3168149	     0			
1041	a	sp|P07942|LAMB1_HUMAN	P07942	LAMB1_HUMAN	LAMB1	1786	4.00	Homo sapiens OX=9606	Laminin subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	6	6	0	7043026	7043026	     0			tr|G3XAI2|G3XAI2_HUMAN
1042	a	sp|P08133|ANXA6_HUMAN	P08133	ANXA6_HUMAN	ANXA6	673	53.80	Homo sapiens OX=9606	Annexin A6 	1:Experimental evidence at protein level	1.0000	0.9990	38	51	11	0	151	21	0	155938480	78857473	     0			
1042	b	tr|E5RK69|E5RK69_HUMAN	E5RK69	E5RK69_HUMAN	ANXA6	460	57.20	Homo sapiens OX=9606	Annexin 	1:Experimental evidence at protein level	1.0000	0.9990	28	40	3	0	131	7	0	155938480	4062555	     0			
1043	a	sp|P08183|MDR1_HUMAN	P08183	MDR1_HUMAN	ABCB1	1280	9.50	Homo sapiens OX=9606	ATP-dependent translocase ABCB1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	0	4	4	0	6353268	6353268	     0			
1044	a	sp|P08195|4F2_HUMAN	P08195	4F2_HUMAN	SLC3A2	630	31.70	Homo sapiens OX=9606	4F2 cell-surface antigen heavy chain 	1:Experimental evidence at protein level	1.0000	0.9990	19	22	19	0	43	36	0	52341923	52341923	     0			tr|F5GZS6|F5GZS6_HUMAN, tr|J3KPF3|J3KPF3_HUMAN
1045	a	sp|P08236|BGLR_HUMAN	P08236	BGLR_HUMAN	GUSB	651	30.40	Homo sapiens OX=9606	Beta-glucuronidase 	1:Experimental evidence at protein level	1.0000	0.9990	13	17	17	0	38	38	0	25727388	25727388	     0			
1046	c	sp|P14625|ENPL_HUMAN	P14625	ENPL_HUMAN	HSP90B1	803	47.40	Homo sapiens OX=9606	Endoplasmin 	1:Experimental evidence at protein level	1.0000	0.9990	40	56	48	0	145	122	0	192549600	192549600	     0			
1046	d	sp|Q58FF7|H90B3_HUMAN	Q58FF7	H90B3_HUMAN	HSP90AB3P	597	27.50	Homo sapiens OX=9606	Putative heat shock protein HSP 90-beta-3 	5:Protein uncertain	1.0000	0.9990	26	41	1	0	131	0	0	372437200	     0	     0			
1046	b	sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	49.50	Homo sapiens OX=9606	Heat shock protein HSP 90-alpha 	1:Experimental evidence at protein level	1.0000	0.9990	45	73	34	0	230	93	0	740278256	382488728	     0			
1046	a	sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	50.00	Homo sapiens OX=9606	Heat shock protein HSP 90-beta 	1:Experimental evidence at protein level	1.0000	0.9990	45	74	21	0	239	62	0	664625264	170816540	     0	10M(15.9949), 5C(57.0215), 6C(57.0215)		
1047	a	sp|P08243|ASNS_HUMAN	P08243	ASNS_HUMAN	ASNS	561	8.00	Homo sapiens OX=9606	Asparagine synthetase [glutamine-hydrolyzing] 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	2	0	1	1	0	3706628	3706628	     0			
1048	a	sp|P08473|NEP_HUMAN	P08473	NEP_HUMAN	MME	750	15.70	Homo sapiens OX=9606	Neprilysin 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	9	0	7	7	0	11369383	11369383	     0			
1049	a	sp|P08559|ODPA_HUMAN	P08559	ODPA_HUMAN	PDHA1	390	47.40	Homo sapiens OX=9606	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	21	24	17	0	41	29	0	110582642	86086062	     0			
1050	a	sp|P08621|RU17_HUMAN	P08621	RU17_HUMAN	SNRNP70	437	13.30	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein 70 kDa 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	6	0	15	14	0	4347799	4347799	     0			
1051	a	sp|P08648|ITA5_HUMAN	P08648	ITA5_HUMAN	ITGA5	1049	9.00	Homo sapiens OX=9606	Integrin alpha-5 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	8	8	0	11732957	11732957	     0			
1052	a	sp|P08708|RS17_HUMAN	P08708	RS17_HUMAN	RPS17	135	51.10	Homo sapiens OX=9606	40S ribosomal protein S17 	1:Experimental evidence at protein level	1.0000	0.9990	8	12	11	0	18	15	0	69681199	69681199	     0			tr|H3BNC9|H3BNC9_HUMAN
1053	a	sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	63.10	Homo sapiens	Annexin A5 	1:Experimental evidence at protein level	1.0000	0.9990	24	36	3	0	98	11	0	645410272	174933386	     0			
1054	a	sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	57.00	Homo sapiens OX=9606	40S ribosomal protein SA 	1:Experimental evidence at protein level	1.0000	0.9990	14	17	17	0	43	43	0	184901496	184901496	     0	N-term(42.0106)		tr|A0A0C4DG17|A0A0C4DG17_HUMAN, tr|C9J9K3|C9J9K3_HUMAN
1055	a	sp|P09001|RM03_HUMAN	P09001	RM03_HUMAN	MRPL3	348	25.90	Homo sapiens OX=9606	39S ribosomal protein L3, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	4	0	12	4	0	12285769	7006444	     0			tr|E7ETU7|E7ETU7_HUMAN, tr|H0Y9G6|H0Y9G6_HUMAN
1056	a	sp|P09012|SNRPA_HUMAN	P09012	SNRPA_HUMAN	SNRPA	282	37.20	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein A 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	1	0	32	2	0	33166069	1869392	     0			
1057	a	sp|P09110|THIK_HUMAN	P09110	THIK_HUMAN	ACAA1	424	46.50	Homo sapiens OX=9606	3-ketoacyl-CoA thiolase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	17	26	0	0	80	0	0	113290892	     0	     0			
1058	b	sp|P08263|GSTA1_HUMAN	P08263	GSTA1_HUMAN	GSTA1	222	56.80	Homo sapiens	Glutathione S-transferase A1 	1:Experimental evidence at protein level	1.0000	0.9990	15	20	1	0	55	1	0	958420528	41495136	     0			
1058	a	sp|P09210|GSTA2_HUMAN	P09210	GSTA2_HUMAN	GSTA2	222	56.80	Homo sapiens OX=9606	Glutathione S-transferase A2 	1:Experimental evidence at protein level	1.0000	0.9990	15	20	1	0	59	5	0	958420528	19723844	     0			
1059	a	sp|P09234|RU1C_HUMAN	P09234	RU1C_HUMAN	SNRPC	159	13.20	Homo sapiens OX=9606	U1 small nuclear ribonucleoprotein C 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|A0A0A0MRR7|A0A0A0MRR7_HUMAN
1060	a	sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	41.50	Homo sapiens OX=9606	Galectin-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	11	11	0	44793728	44793728	     0			
1061	a	sp|P09417|DHPR_HUMAN	P09417	DHPR_HUMAN	QDPR	244	39.30	Homo sapiens OX=9606	Dihydropteridine reductase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	3	0	14	4	0	15578572	9305476	     0	6C(57.0215)		
1062	a	sp|P09429|HMGB1_HUMAN	P09429	HMGB1_HUMAN	HMGB1	215	39.10	Homo sapiens OX=9606	High mobility group protein B1 	1:Experimental evidence at protein level	1.0000	0.9990	12	18	10	0	43	27	0	103261674	61837022	     0			
1063	a	sp|P09496|CLCA_HUMAN	P09496	CLCA_HUMAN	CLTA	248	15.30	Homo sapiens OX=9606	Clathrin light chain A 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	3	0	1	0	0	3777591	     0	     0			
1064	a	sp|P09497|CLCB_HUMAN	P09497	CLCB_HUMAN	CLTB	229	14.40	Homo sapiens OX=9606	Clathrin light chain B 	1:Experimental evidence at protein level	1.0000	0.9988	4	4	4	0	3	3	0	9920400	9920400	     0			
1065	a	sp|P09525|ANXA4_HUMAN	P09525	ANXA4_HUMAN	ANXA4	319	64.30	Homo sapiens OX=9606	Annexin A4 	1:Experimental evidence at protein level	1.0000	0.9990	20	29	16	0	80	41	0	191149992	172425064	     0			
1066	a	sp|P09543|CN37_HUMAN	P09543	CN37_HUMAN	CNP	421	20.40	Homo sapiens OX=9606	2',3'-cyclic-nucleotide 3'-phosphodiesterase 	1:Experimental evidence at protein level	1.0000	0.9990	9	10	9	0	6	5	0	13123897	11182487	     0			
1067	a	sp|P09601|HMOX1_HUMAN	P09601	HMOX1_HUMAN	HMOX1	288	14.60	Homo sapiens OX=9606	Heme oxygenase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	2	2	0	4841832	4841832	     0			
